Filename,language,dur,lartype,family,area,norm.soe
20-to_go,A'ingae,167.704,h,A'ingae,South America,0.09884403183315717
55-to_go,A'ingae,134.54399999999998,h,A'ingae,South America,0.1716873589986161
014-hang,Afrikaans,86.407,H,Indo-European,Africa,0.32940132667023675
032-hands,Afrikaans,156.05700000000002,H,Indo-European,Africa,0.20708418073550836
148-horizontal,Afrikaans,55.882000000000005,H,Indo-European,Africa,0.49923106102412373
158-historian,Afrikaans,20.613,H,Indo-European,Africa,0.4510380372659129
01-you-PL,Amarasi,133.79899999999998,h,Austronesian,Papunesia,0.2200761285323699
03-four,Amarasi,145.96600000000004,h,Austronesian,Papunesia,0.4474739011294891
04-you-SG,Amarasi,124.32199999999999,h,Austronesian,Papunesia,0.45019317223256083
11-seven,Amarasi,119.975,h,Austronesian,Papunesia,0.36357450531994884
11-we-EXCL_work,Amarasi,141.78499999999997,h,Austronesian,Papunesia,0.3810889450739654
12-we-INCL_turn,Amarasi,78.58099999999999,h,Austronesian,Papunesia,0.37489254947801837
16-tree-wood,Amarasi,127.12999999999998,h,Austronesian,Papunesia,0.4187601656609432
17-tree-leaf,Amarasi,126.376,h,Austronesian,Papunesia,0.39265170755493
28-you-SG,Amarasi,124.322,h,Austronesian,Papunesia,0.45019317223256083
hang,American English,114.119,h,Indo-European,Eurasia,0.34874849864899254
high,American English,107.469,h,Indo-European,Eurasia,0.3435859492872242
doctor,Amharic,87.44200000000001,h,Afro-Asiatic,Africa,0.300641487667509
escape-n,Arabic,105.689,h,Afro-Asiatic,Eurasia,0.19122159923403054
05-hard,Australian English,120.30200000000002,h,Indo-European,Australia,0.2739878989685345
18-hang,Australian English,143.11699999999996,h,Indo-European,Australia,0.3651594374007471
19-high,Australian English,148.24099999999999,h,Indo-European,Australia,0.4333850242488151
20-how,Australian English,124.72000000000003,h,Indo-European,Australia,0.3162766962743185
21-heed,Australian English,66.654,h,Indo-European,Australia,0.15320440567987206
23-happy,Australian English,103.28999999999996,h,Indo-European,Australia,0.33178910949457435
32-hear,Australian English,104.41399999999999,h,Indo-European,Australia,0.26229655766323373
33-hair,Australian English,106.97699999999998,h,Indo-European,Australia,0.26449804909748564
39-hurl,Australian English,123.471,h,Indo-European,Australia,0.3271731304823611
41-howl,Australian English,105.344,h,Indo-European,Australia,0.3191574631046807
48-whod,Australian English,66.80899999999997,h,Indo-European,Australia,0.3395102286883694
49-hood,Australian English,95.32799999999997,h,Indo-European,Australia,0.22181042919855315
50-hell,Australian English,108.5,h,Indo-European,Australia,0.20132508527075538
51-Hal,Australian English,104.17100000000005,h,Indo-European,Australia,0.2818957080144685
52-hile,Australian English,90.005,h,Indo-European,Australia,0.21810429198553158
53-heel,Australian English,116.476,h,Indo-European,Australia,0.3889170979350344
03-hats,Austrian German,91.94800000000001,h,Indo-European,Eurasia,0.23916208883393963
04-hut,Austrian German,93.789,h,Indo-European,Eurasia,0.2697324245292875
08-cave,Austrian German,83.59300000000002,h,Indo-European,Eurasia,0.2817466503851994
09-hell,Austrian German,72.869,h,Indo-European,Eurasia,0.2512331699821793
11-hedge,Austrian German,75.62100000000001,h,Indo-European,Eurasia,0.16207987909660967
12-gamekeeping,Austrian German,103.924,h,Indo-European,Eurasia,0.31027569448450876
20-to_dart,Austrian German,82.096,h,Indo-European,Eurasia,0.13178150992680868
23-trousers,Austrian German,100.876,h,Indo-European,Eurasia,0.25582076544103693
25-hammer,Austrian German,91.86300000000001,h,Indo-European,Eurasia,0.29034662372922027
28-hunger,Austrian German,104.954,h,Indo-European,Eurasia,0.275632787390897
31-house,Austrian German,83.37100000000001,h,Indo-European,Eurasia,0.3514659316579877
33-to_rush,Austrian German,66.87399999999998,h,Indo-European,Eurasia,0.21368812613163024
35-to_pet,Austrian German,68.96300000000001,h,Indo-European,Eurasia,0.3531734866018368
37-witch,Austrian German,70.05700000000002,h,Indo-European,Eurasia,0.4222131206898991
43-hall,Austrian German,132.752,h,Indo-European,Eurasia,0.4074879689694705
24-key,Azerbaijani,134.564,h,Turkic,Eurasia,0.2780712247294091
18-to_make_the_hajj-haji,Bajau,106.40700000000001,h,Austronesian,Papunesia,0.06941255304892716
11-to_cover_oneself,Basaa,218.533,h,NA,NA,0.39224375626869423
12-to_put_clothes_on_oneself,Basaa,104.286,h,NA,NA,0.24706585137271303
13-to_avoid_oneself,Basaa,143.279,h,NA,NA,0.289665457964667
19-to_cost,Basaa,103.1,h,NA,NA,0.630166784091349
23-to_hang_around,Basaa,101.28499999999998,h,NA,NA,0.26039583010129985
24-to_sharpen,Basaa,78.104,h,NA,NA,0.571554700369955
26-to_annoy,Basaa,89.86099999999999,h,NA,NA,0.15488001972829601
32-to_block,Basaa,63.379999999999995,h,NA,NA,0.17073101488955442
40-to_swim,Basaa,70.65100000000001,h,NA,NA,0.4434162299483579
42-to_annoy,Basaa,92.965,h,NA,NA,0.539733101295687
45b-to_block_for,Basaa,63.322,h,NA,NA,0.3434355082701031
48-to_block_each_other,Basaa,79.03099999999999,h,NA,NA,0.2817183918145755
48b-to_sharpen_with,Basaa,77.139,h,NA,NA,0.35578241526470905
24-BC-quarrel,Bohemian Czech,122.89699999999999,H,Indo-European,Eurasia,0.5351853034839672
39-BC-Johnny,Bohemian Czech,76.642,H,Indo-European,Eurasia,0.20371059682900688
43-BC-a_lot_of,Bohemian Czech,68.959,H,Indo-European,Eurasia,0.24145741098294432
20-also,Bukharan Tajik,193.56500000000003,h,NA,NA,0.3276091207648888
32-thing,Burmese,154.048,h,Sino-Tibetan,Eurasia,0
03-shrimp,Cantonese,89.203,h,Sino-Tibetan,Eurasia,0.2472463622437216
17-clear_sounding,Central Sama,143.98700000000002,h,Austronesian,Papunesia,0.36731754738499417
098-TAB5-22-winnow,Cicipu,46.141000000000076,h,Niger-Congo,Africa,0.3937243157881411
098-TAB5-22-winnow,Cicipu,49.175999999999995,h,Niger-Congo,Africa,0.40827213089594083
099-TAB5-23-start,Cicipu,48.42700000000001,h,Niger-Congo,Africa,0.4059904251416734
099-TAB5-23-start,Cicipu,85.52200000000005,h,Niger-Congo,Africa,0.25204233018094413
100-TAB5-24-say,Cicipu,47.528999999999996,h,Niger-Congo,Africa,0.43747882841700614
